seed,method,cooc_ppmi,cooc_raw,link_auc,eunis_f1,eunis_acc,eunis_base,trait_r2
1,CA,0.280664545361243,0.271190281259325,0.8190388612,0.334992658926105,0.545239968528718,0.147915027537372,-0.0748604380406552
1,PMISVD,0.342464098289121,0.333755325451176,0.8927287748,0.366793560566958,0.57513768686074,0.147915027537372,-0.0564966254933345
1,GloVe,0.262725416598562,0.272797894423591,0.7988699364,0.381819153981103,0.553894571203777,0.147915027537372,-0.0351110496351978
1,AbundPMI,0.370589397443862,0.379923515900522,0.9415604084,0.369367888893578,0.558615263571991,0.147915027537372,-0.0545029002803874
2,CA,0.279481920249886,0.270107034064507,0.8184877812,0.289915072612919,0.523771790808241,0.131537242472266,-0.046206682426619
2,PMISVD,0.34124082481554,0.332469612905132,0.8928235384,0.337224669605244,0.54675118858954,0.131537242472266,-0.0575219638263476
2,GloVe,0.264407198998059,0.273475586720987,0.8007831688,0.292559907955172,0.532488114104596,0.131537242472266,-0.089505112760845
2,AbundPMI,0.369849275558653,0.378658678974947,0.9427836348,0.323624951383113,0.532488114104596,0.131537242472266,-0.0492656365797243
3,CA,0.282734129480106,0.273724091670383,0.821575388,0.302204350152244,0.518196202531646,0.143987341772152,-0.0543565592175876
3,PMISVD,0.343129482192422,0.335435033462318,0.8936954904,0.295734459341809,0.531645569620253,0.143987341772152,-0.0683719677082942
3,GloVe,0.257346355351371,0.266895464612599,0.7936073708,0.306965937932158,0.534018987341772,0.143987341772152,-0.0133324554937267
3,AbundPMI,0.369676493607104,0.379765520222976,0.9413246416,0.295852790253594,0.524525316455696,0.143987341772152,-0.0403943613521685
