seed,method,cooc_ppmi,cooc_raw,link_auc,eunis_f1,eunis_acc,eunis_base,trait_r2
1,ca,0.201799653578115,0.19648508840707,0.7967387972,0.326818709311635,0.531298904538341,0.13302034428795,
1,pmi,0.264960631955679,0.262629543003425,0.8957904124,0.305736922219819,0.539906103286385,0.13302034428795,
1,abund_pmi,0.285023167966688,0.293078176392394,0.938124978,0.307686628865046,0.540688575899844,0.13302034428795,
1,glove,0.192981851153223,0.199777132676972,0.7869374168,0.320147636730344,0.550860719874804,0.13302034428795,
1,clr,0.202154149218928,0.199977051547135,0.7941493892,0.307819063383742,0.538341158059468,0.13302034428795,
2,ca,0.209650511089917,0.203894373359789,0.799409706,0.341341992584205,0.550078247261346,0.140062597809077,
2,pmi,0.271747376631575,0.269164878361577,0.8951858308,0.352646748306132,0.561815336463224,0.140062597809077,
2,abund_pmi,0.290830571231201,0.299244969438771,0.936140734,0.350362434061846,0.54773082942097,0.140062597809077,
2,glove,0.19305431934153,0.20020250540662,0.7810588256,0.356672420247185,0.568075117370892,0.140062597809077,
2,clr,0.20165116764367,0.200600430662091,0.787787801,0.338742958366951,0.534428794992175,0.140062597809077,
3,ca,0.202643831797994,0.197568520186478,0.7992205228,0.328033272714106,0.532852564102564,0.140224358974359,
3,pmi,0.266611020200591,0.264155557281882,0.8980212536,0.33195816352113,0.568108974358974,0.140224358974359,
3,abund_pmi,0.28594908070167,0.293111887027228,0.938433458,0.331183283706146,0.548878205128205,0.140224358974359,
3,glove,0.193986647846794,0.200857134673602,0.7889046076,0.33780015045782,0.563301282051282,0.140224358974359,
3,clr,0.200779280452647,0.198421297563507,0.7924708198,0.329026401798751,0.542467948717949,0.140224358974359,
