seed,method,cooc_ppmi,cooc_raw,link_auc,eunis_f1,eunis_acc,eunis_base,trait_r2
1,CA,0.202633286111887,0.197223776534721,0.79553115,0.368865579834168,0.56687898089172,0.136146496815287,-0.0264831827200637
1,PMISVD,0.265050843529658,0.262586554832831,0.8927350144,0.319815171936452,0.554140127388535,0.136146496815287,-0.0543392077144072
1,GloVe,0.167687074239716,0.174073687039297,0.7475346756,0.343506871518023,0.560509554140127,0.136146496815287,-0.0753146895947941
1,AbundPMI,0.284690804307706,0.292930929038865,0.9349078,0.322838410339996,0.551751592356688,0.136146496815287,-0.0398867509494123
2,CA,0.204593687367666,0.198761437045543,0.7915777054,0.363627515933844,0.559006211180124,0.135093167701863,-0.0612953519496915
2,PMISVD,0.271478036516854,0.268346338010704,0.8920641194,0.358560321290419,0.56832298136646,0.135093167701863,-0.045043700475641
2,GloVe,0.176043648448137,0.183932283690526,0.7549517284,0.347005113972327,0.565993788819876,0.135093167701863,-0.0639307990161916
2,AbundPMI,0.292403825622487,0.300448074038526,0.9355885268,0.334709049806235,0.552795031055901,0.135093167701863,-0.0349954295610128
3,CA,0.199260077325899,0.194205109233207,0.79578037,0.349240919324696,0.542332268370607,0.134185303514377,-0.109092514666313
3,PMISVD,0.262932390934677,0.26005556224513,0.8948799572,0.322254510265414,0.557507987220447,0.134185303514377,-0.0524410402839829
3,GloVe,0.175547886895121,0.18224109233895,0.7626785136,0.317004273152215,0.541533546325879,0.134185303514377,-0.0393622495015682
3,AbundPMI,0.283148439007796,0.290324845840029,0.9370475816,0.332791769020735,0.538338658146965,0.134185303514377,-0.0796567400681275
