seed,method,cooc_ppmi,cooc_raw,link_auc,eunis_f1,eunis_acc,eunis_base,trait_r2
1,ca,0.16788647813805,0.154377195394437,0.746038478357876,0.352191696081614,0.58123936329963,0.145760336370007,
1,pmi,0.25710502786471,0.250021173384711,0.898196931970306,0.33441900852594,0.585751450870522,0.144586752051231,
1,abund_pmi,0.273434935765198,0.289416606531163,0.959417639041012,0.373495561573746,0.598578863090472,0.148819055244195,
1,glove,0.202075047533434,0.21533700745909,0.835033821751653,0.355752374242638,0.60486291775065,0.145287172303382,
2,ca,0.169995706299205,0.157189236816351,0.751824348335488,0.339908970547659,0.577857785778578,0.149214921492149,
2,pmi,0.259194920405395,0.252776668611607,0.901987909663866,0.321842850560573,0.590295147573787,0.145272636318159,
2,abund_pmi,0.275284441722207,0.291088627910387,0.96109964164512,0.350925117984328,0.597098549274637,0.142271135567784,
2,glove,0.207501574266701,0.222676680892736,0.846659271978022,0.357306869583313,0.61518455536661,0.146944083224968,
3,ca,0.168771996519355,0.155792821261987,0.748914917174005,0.353305339500963,0.578847308385031,0.144986992195317,
3,pmi,0.258805651818814,0.252593066427781,0.902181760077668,0.351187230190193,0.581290645322661,0.147973986993497,
3,abund_pmi,0.27484311938145,0.290442389389029,0.96048806132562,0.344268701623726,0.599299649824912,0.151175587793897,
3,glove,0.200242559580564,0.212044662018919,0.829974839505674,0.36752628847838,0.601540616246499,0.143957583033213,
