seed,method,cooc_ppmi,cooc_raw,link_auc,eunis_f1,eunis_acc,eunis_base,trait_r2
1,CA,0.214851280242616,0.197350379151096,0.7660140736,0.338920265121174,0.583991995997999,0.143471735867934,-0.0356254126615588
1,PMISVD,0.306551709643566,0.294551799539829,0.8940774272,0.332097241435505,0.588052831699019,0.144486692015209,-0.0363177801629752
1,GloVe,0.248798587291385,0.265077747996381,0.8452269192,0.329129119552697,0.599699849924963,0.147073536768384,-0.0422224698115457
1,AbundPMI,0.326888066236138,0.343498066137081,0.957797348,0.338621052708376,0.59555733440064,0.14638783269962,-0.0409902446496792
2,CA,0.212458816075638,0.194945663931997,0.7646429304,0.352572419702963,0.577115423084617,0.144228845769154,-0.0173122593951994
2,PMISVD,0.303259268614906,0.292067076698319,0.8928485464,0.38265901307313,0.593796898449225,0.149274637318659,-0.0476869685174329
2,GloVe,0.245422076438876,0.263396667194502,0.8440254468,0.354349889747303,0.59925955573344,0.146187712627577,-0.0434294301324482
2,AbundPMI,0.324400109587352,0.342447295687195,0.957437488,0.353820641099219,0.594178253476043,0.139841952585776,-0.0532681257761823
3,CA,0.21296377959842,0.195047138831901,0.7643991992,0.320962344589003,0.575272581774532,0.137841352405722,-0.0545683500533099
3,PMISVD,0.304742406298455,0.293585941907236,0.8959699992,0.363613662875163,0.585717143428686,0.13372674534907,-0.0523606661925537
3,GloVe,0.253479163529286,0.272199825088997,0.855510542,0.334296681019511,0.600840336134454,0.14015606242497,-0.0540176016514072
3,AbundPMI,0.32542417073328,0.342714403493617,0.9591186724,0.350113141128131,0.589476843052916,0.136741022306692,-0.0595649325225609
